Area_Locality,Society_Name,Numeric_Price,Title,BHK
Mel Ayanambakkam Kil Ayanambakkam,Urbanrise Revolution One,9800000,2 BHK Builder Floor for Sale in Mel Ayanambakkam Kil Ayanambakkam Chennai,2
Porur,Urbanrise Codename The Game Changer,14000000,3 BHK Apartment for Sale in Porur Chennai,3
Vyasarpadi,Mfpl Adithya,4200000,2 BHK Builder Floor for Sale in Vyasarpadi Chennai,2
Mylai Kapaleshwarar Nagar,Akshaya Republic,18000000,3 BHK Apartment for Sale in Mylai Kapaleshwarar Nagar Chennai,3
Ambattur,Gag Rama Enclave,4200000,2 BHK Apartment for Sale in Ambattur Chennai,2
Shenoy Nagar,Venkatachalam Nagar,15000000,2 BHK Apartment for Sale in Shenoy Nagar Chennai,2
Mogappair,Godrej Palmgrove,11500000,3 BHK Apartment for Sale in Mogappair Chennai,3
Prakash Nagar Vijayalakshmi Puram,Jai Vettri Happy Windows,4500000,2 BHK Apartment for Sale in Prakash Nagar Vijayalakshmi Puram Chennai,2
Kesavaperumalpuram,Ps Srijan Nexterra Phase 2,32500000,3 BHK Apartment for Sale in Kesavaperumalpuram Chennai,3
Mogappair,Sbioa Unity Enclave,14600000,3 BHK Apartment for Sale in Mogappair Chennai,3
Vandalur,Aishwaryam,6400000,2 BHK Apartment for Sale in Vandalur Chennai,2
"Velachery,",Bscpl Bollineni Hillside Phase Ii,6500000,"2 BHK Apartment for Sale in Velachery, Chennai Chennai",2
Kk Nagar West,Coral Enclave,10800000,2 BHK Apartment for Sale in KK Nagar West Chennai,2
Madhavaram,Kg Signature City,6500000,2 BHK Apartment for Sale in Madhavaram Chennai,2
Navalur,Vignesh,6000000,2 BHK Apartment for Sale in Navalur Chennai,2
Pallikaranai,Dugar Lake Dugar,16800000,3 BHK Apartment for Sale in Pallikaranai Chennai,3
